,time,episode_length,memory_mean,power_mean,fan_speed_mean,temperature_mean,gpu_utilization_mean,memory_utilization_mean,reward
0,77.929622,1106,726.112,62.072,23.48,44.185,3.417,0.905,-19.0
1,143.723127,2196,731.0,62.68899999999999,26.305,48.8,3.742,0.997,-21.0
2,196.101096,3056,731.0,63.034,28.005,50.705,3.724,1.0,-20.0
3,253.936902,4014,731.0,63.323,29.0,51.74,3.745,1.0,-19.0
4,310.745923,4945,731.0,63.563,29.516,52.099,3.719,0.998,-20.0
5,374.19844,5965,731.0,63.63800000000001,30.0,52.972,3.671,0.994,-18.0
6,427.39134900000005,6831,731.0,63.806,30.006,53.0,3.688,1.0,-20.0
7,485.291014,7757,731.0,63.835,30.902,53.048,3.651,0.998,-20.0
8,539.633849,8624,731.0,63.881,31.0,53.332,3.642,0.988,-21.0
9,592.071117,9475,731.0,64.009,31.0,53.75,3.68,1.0,-21.0
10,654.316976,10383,731.0,63.881,31.0,53.997,3.632,0.997,-21.0
11,719.631839,11298,731.0,63.78,31.115,54.0,3.5460000000000003,0.997,-20.0
12,791.8313469999998,12358,731.0,63.879,31.96,54.0,3.605,0.993,-18.0
13,850.995631,13195,731.0,63.872,32.0,54.0,3.576,0.994,-21.0
14,902.786616,14013,731.0,63.8,32.0,54.0,3.634,1.0,-21.0
15,971.39007,14979,731.0,63.71100000000001,32.0,54.0,3.5380000000000003,0.996,-20.0
16,1025.107326,15738,731.0,63.738,32.0,54.0,3.6010000000000004,0.995,-21.0
17,1082.85274,16574,731.0,63.812,32.0,54.0,3.634,0.996,-20.0
18,1136.401158,17360,731.0,63.807,32.0,54.0,3.682,0.994,-21.0
19,1205.093288,18389,731.0,63.783,32.0,54.0,3.695,0.996,-19.0
20,1277.198768,19467,731.0,63.702,32.0,53.981,3.677,0.997,-18.0
21,1334.136707,20305,731.0,63.705,32.0,53.685,3.685,0.998,-20.0
22,1387.872702,21093,731.0,63.69300000000001,32.0,53.354,3.684,0.995,-21.0
23,1453.8240119999996,22073,731.0,63.72,32.0,53.012,3.681,0.997,-19.0
24,1569.001884,23044,731.0,63.039,30.83,49.847,3.562,0.99,-20.0
25,1640.262991,24029,731.0,63.50899999999999,30.0,51.549,3.516,0.978,-20.0
26,1718.484274,25098,731.0,63.825,30.048,52.89100000000001,3.629,0.992,-19.0
27,1803.190236,26344,731.0,63.879,30.96,53.613,3.6,0.982,-18.0
28,1879.902621,27500,731.0,63.94600000000001,31.0,54.0,3.68,0.992,-19.0
29,1960.011831,28712,731.0,63.922,31.054,54.0,3.676,0.993,-18.0
30,2043.216923,29926,731.0,63.879,31.907,53.92100000000001,3.603,0.989,-18.0
